bits,i,size,MSH,t1,MMP,t2,PMP,t3
3,77,10000000,117.9114,35000000,587.9365,32500000,1256.1063,40000000
3,78,10000000,117.3021,35000000,587.9988,32500000,1254.2822,40000000
3,79,10000000,117.6304,35000000,587.5352,32500000,1257.1979,40000000
3,80,10000000,113.1399,35000000,592.1072,32500000,1255.8803,40000000
3,81,10000000,117.5021,35000000,593.7661,32500000,1257.4001,40000000
3,82,10000000,115.8068,35000000,592.8889,32500000,1253.8283,40000000
3,83,10000000,119.0524,35000000,590.7515,32500000,1256.6458,40000000
3,84,10000000,115.482,35000000,588.0457,32500000,1255.1727,40000000
3,85,10000000,113.9219,35000000,589.369,32500000,1257.1065,40000000
3,86,10000000,114.4306,35000000,589.7836,32500000,1254.9002,40000000
3,87,10000000,115.871,35000000,588.1015,32500000,1255.7675,40000000
3,88,10000000,114.903,35000000,588.1282,32500000,1258.0548,40000000
3,89,10000000,115.0429,35000000,588.7842,32500000,1258.4404,40000000
3,90,10000000,115.5578,35000000,587.3724,32500000,1255.1341,40000000
3,91,10000000,115.3874,35000000,588.3943,32500000,1259.2395,40000000
3,92,10000000,115.0522,35000000,588.7132,32500000,1260.8405,40000000
3,93,10000000,115.4706,35000000,587.7433,32500000,1261.3208,40000000
3,94,10000000,114.2105,35000000,588.654,32500000,1254.4324,40000000
3,95,10000000,113.762,35000000,587.706,32500000,1259.4946,40000000
3,96,10000000,116.1768,35000000,586.8896,32500000,1257.1172,40000000
3,97,10000000,115.8385,35000000,587.6733,32500000,1260.0026,40000000
3,98,10000000,114.5067,35000000,587.9644,32500000,1253.0168,40000000
3,99,10000000,117.6337,35000000,587.1235,32500000,1255.1659,40000000
4,0,10000000,117.483,75625000,589.7187,68125000,1255.6461,84375000
4,1,10000000,113.3686,75625000,588.6065,68125000,1251.7695,84375000
4,2,10000000,114.2511,75625000,590.63,68125000,1253.5671,84375000
4,3,10000000,117.2346,75625000,587.8119,68125000,1255.0653,84375000
4,4,10000000,115.2634,75625000,588.7673,68125000,1256.1343,84375000
4,5,10000000,113.4225,75625000,588.8596,68125000,1254.158,84375000
4,6,10000000,114.5771,75625000,587.0611,68125000,1256.7841,84375000
4,7,10000000,115.3806,75625000,588.1574,68125000,1256.575,84375000
4,8,10000000,113.6938,75625000,590.8729,68125000,1261.4489,84375000
4,9,10000000,115.931,75625000,587.1741,68125000,1254.7442,84375000
4,10,10000000,116.7575,75625000,591.5186,68125000,1256.141,84375000
4,11,10000000,114.6137,75625000,592.9416,68125000,1256.3124,84375000
4,12,10000000,116.4382,75625000,587.5063,68125000,1253.9933,84375000
4,13,10000000,114.6328,75625000,592.5757,68125000,1264.9007,84375000
4,14,10000000,113.7307,75625000,595.7862,68125000,1259.3138,84375000
4,15,10000000,116.0811,75625000,588.836,68125000,1270.3032,84375000
4,16,10000000,114.749,75625000,595.5342,68125000,1258.1362,84375000
4,17,10000000,113.5174,75625000,587.6474,68125000,1255.5784,84375000
4,18,10000000,117.7368,75625000,590.4186,68125000,1258.5909,84375000
4,19,10000000,115.9125,75625000,597.3643,68125000,1256.8646,84375000
4,20,10000000,116.5642,75625000,592.0564,68125000,1265.0038,84375000
4,21,10000000,118.7299,75625000,587.6466,68125000,1253.5041,84375000
4,22,10000000,114.5998,75625000,593.9285,68125000,1262.4593,84375000
4,23,10000000,116.6593,75625000,596.9858,68125000,1253.7158,84375000
4,24,10000000,113.5252,75625000,589.5572,68125000,1262.0639,84375000
4,25,10000000,116.2006,75625000,594.7508,68125000,1256.7356,84375000
4,26,10000000,114.0129,75625000,587.7142,68125000,1253.2464,84375000
4,27,10000000,112.9308,75625000,592.3635,68125000,1253.1167,84375000
4,28,10000000,117.7743,75625000,589.3975,68125000,1254.7934,84375000
4,29,10000000,113.9265,75625000,594.3611,68125000,1262.7008,84375000
4,30,10000000,114.9375,75625000,586.9699,68125000,1262.0724,84375000
4,31,10000000,115.0215,75625000,591.4045,68125000,1266.5427,84375000
4,32,10000000,116.4921,75625000,591.9946,68125000,1262.5591,84375000
4,33,10000000,118.9311,75625000,587.2916,68125000,1266.8554,84375000
4,34,10000000,115.5659,75625000,587.4479,68125000,1257.514,84375000
4,35,10000000,115.8823,75625000,587.5317,68125000,1260.1223,84375000
4,36,10000000,114.0086,75625000,589.4388,68125000,1261.7767,84375000
4,37,10000000,116.3779,75625000,610.6011,68125000,1270.4359,84375000
4,38,10000000,114.4609,75625000,594.8272,68125000,1256.247,84375000
4,39,10000000,113.7465,75625000,587.7919,68125000,1264.2116,84375000
4,40,10000000,115.9961,75625000,587.0469,68125000,1274.3763,84375000
4,41,10000000,117.3023,75625000,594.5653,68125000,1258.7257,84375000
4,42,10000000,113.7242,75625000,587.8164,68125000,1259.6601,84375000
4,43,10000000,118.3755,75625000,596.6252,68125000,1271.0105,84375000
4,44,10000000,114.4929,75625000,599.4595,68125000,1260.6288,84375000
4,45,10000000,121.3639,75625000,594.3334,68125000,1260.8733,84375000
4,46,10000000,117.4391,75625000,609.1193,68125000,1270.8805,84375000
4,47,10000000,114.6497,75625000,590.4573,68125000,1258.4879,84375000
4,48,10000000,116.7115,75625000,588.8371,68125000,1263.4973,84375000
4,49,10000000,119.0406,75625000,591.9619,68125000,1260.3049,84375000
4,50,10000000,119.6451,75625000,587.2589,68125000,1256.9099,84375000
4,51,10000000,120.8071,75625000,587.0724,68125000,1266.561,84375000
4,52,10000000,117.0045,75625000,587.3534,68125000,1260.5814,84375000
4,53,10000000,121.3541,75625000,592.6717,68125000,1266.7405,84375000
4,54,10000000,115.4474,75625000,593.4104,68125000,1268.1724,84375000
4,55,10000000,116.1369,75625000,596.9787,68125000,1269.6682,84375000
4,56,10000000,115.0724,75625000,589.1364,68125000,1267.2162,84375000
4,57,10000000,118.9363,75625000,602.8259,68125000,1269.5208,84375000
4,58,10000000,113.656,75625000,593.3252,68125000,1261.1031,84375000
4,59,10000000,115.7764,75625000,605.9081,68125000,1265.0105,84375000
4,60,10000000,115.2136,75625000,593.7226,68125000,1273.4845,84375000
4,61,10000000,119.7966,75625000,593.084,68125000,1257.3167,84375000
4,62,10000000,116.1737,75625000,599.4238,68125000,1264.9015,84375000
4,63,10000000,117.1795,75625000,601.1155,68125000,1265.9574,84375000
4,64,10000000,115.3993,75625000,600.0259,68125000,1273.2562,84375000
4,65,10000000,117.1231,75625000,590.2342,68125000,1263.1219,84375000
4,66,10000000,116.7289,75625000,591.3745,68125000,1264.8373,84375000
4,67,10000000,118.3694,75625000,587.4835,68125000,1267.8287,84375000
4,68,10000000,112.366,75625000,597.1638,68125000,1261.916,84375000
4,69,10000000,130.6966,75625000,598.1926,68125000,1259.6523,84375000
4,70,10000000,115.7521,75625000,591.8052,68125000,1267.844,84375000
4,71,10000000,115.3334,75625000,597.4466,68125000,1259.9742,84375000
4,72,10000000,120.9534,75625000,601.9614,68125000,1261.183,84375000
4,73,10000000,118.7665,75625000,591.0122,68125000,1264.8688,84375000
4,74,10000000,115.2098,75625000,596.1725,68125000,1270.8002,84375000
4,75,10000000,111.932,75625000,592.9785,68125000,1269.7655,84375000
4,76,10000000,115.0076,75625000,595.1019,68125000,1259.1196,84375000
4,77,10000000,121.2932,75625000,590.492,68125000,1275.0824,84375000
4,78,10000000,115.0054,75625000,595.0151,68125000,1260.1482,84375000
4,79,10000000,116.9759,75625000,587.0095,68125000,1258.1339,84375000
4,80,10000000,113.593,75625000,587.5788,68125000,1261.0793,84375000
4,81,10000000,114.7626,75625000,597.023,68125000,1260.0361,84375000
4,82,10000000,117.201,75625000,591.3758,68125000,1268.574,84375000
4,83,10000000,115.5013,75625000,589.9219,68125000,1263.5506,84375000
4,84,10000000,113.9004,75625000,601.2089,68125000,1257.8446,84375000
4,85,10000000,116.2391,75625000,590.3006,68125000,1257.0482,84375000
4,86,10000000,114.0113,75625000,588.1664,68125000,1261.8301,84375000
4,87,10000000,116.9003,75625000,589.5497,68125000,1263.187,84375000
4,88,10000000,115.0537,75625000,588.9573,68125000,1255.5244,84375000
4,89,10000000,115.8555,75625000,589.7517,68125000,1255.9804,84375000
4,90,10000000,118.376,75625000,592.3699,68125000,1261.6644,84375000
4,91,10000000,116.9939,75625000,591.4084,68125000,1265.1142,84375000
4,92,10000000,117.3885,75625000,595.9932,68125000,1280.603,84375000
4,93,10000000,114.2734,75625000,590.018,68125000,1261.1756,84375000
4,94,10000000,117.8075,75625000,590.0261,68125000,1259.825,84375000
4,95,10000000,116.3326,75625000,589.177,68125000,1260.0934,84375000
4,96,10000000,116.9322,75625000,591.8203,68125000,1255.5182,84375000
4,97,10000000,114.7239,75625000,587.4533,68125000,1268.6914,84375000
4,98,10000000,116.9112,75625000,600.4555,68125000,1284.4291,84375000
4,99,10000000,114.5416,75625000,593.5777,68125000,1258.8268,84375000
5,0,10000000,120.0264,139687500,591.1184,152187500,1267.5238,161562500
5,1,10000000,119.4541,139687500,596.9251,152187500,1297.6251,161562500
5,2,10000000,120.1655,139687500,595.8572,152187500,1267.1665,161562500
5,3,10000000,113.4574,139687500,589.4795,152187500,1263.4902,161562500
5,4,10000000,114.4545,139687500,600.3545,152187500,1275.4414,161562500
5,5,10000000,122.6253,139687500,599.2106,152187500,1276.4104,161562500
5,6,10000000,114.0525,139687500,596.9207,152187500,1272.9001,161562500
5,7,10000000,116.2957,139687500,596.6843,152187500,1277.6977,161562500
5,8,10000000,115.1391,139687500,587.962,152187500,1257.215,161562500
5,9,10000000,115.7569,139687500,592.5885,152187500,1263.2435,161562500
5,10,10000000,115.8453,139687500,587.8732,152187500,1257.0479,161562500
5,11,10000000,115.7874,139687500,589.2065,152187500,1258.6674,161562500
5,12,10000000,117.0872,139687500,587.8116,152187500,1255.6248,161562500
5,13,10000000,121.6678,139687500,588.2455,152187500,1261.1374,161562500
5,14,10000000,112.9988,139687500,593.2224,152187500,1260.9579,161562500
5,15,10000000,114.8781,139687500,591.7772,152187500,1274.4786,161562500
5,16,10000000,117.2879,139687500,589.4222,152187500,1257.5731,161562500
5,17,10000000,113.9912,139687500,588.319,152187500,1263.5779,161562500
5,18,10000000,114.1927,139687500,590.2671,152187500,1256.9211,161562500
5,19,10000000,114.3398,139687500,598.2124,152187500,1269.2106,161562500
5,20,10000000,116.0053,139687500,591.1479,152187500,1261.566,161562500
5,21,10000000,115.2588,139687500,590.3647,152187500,1267.8163,161562500
5,22,10000000,115.8014,139687500,591.3212,152187500,1256.6855,161562500
5,23,10000000,114.2686,139687500,591.3247,152187500,1260.4265,161562500
